"data_id","borrowing","bias_multiplier","truth_name","replicate","task_id"
1,"none",NA,"baseline",1,1
1,"robust",0.25,"baseline",1,2
1,"full",1,"baseline",1,3
1,"full",0.5,"baseline",1,4
1,"full",0,"baseline",1,5
1,"robust",1,"baseline",1,6
1,"robust",0.5,"baseline",1,7
1,"robust",0,"baseline",1,8
1,"full",1.5,"baseline",1,9
1,"full",0.75,"baseline",1,10
1,"full",0.25,"baseline",1,11
1,"robust",1.5,"baseline",1,12
1,"robust",0.75,"baseline",1,13
2,"full",0.25,"low_survival",1,14
2,"none",NA,"low_survival",1,15
2,"robust",0.25,"low_survival",1,16
2,"robust",0.75,"low_survival",1,17
2,"robust",0,"low_survival",1,18
2,"full",0,"low_survival",1,19
2,"full",0.5,"low_survival",1,20
2,"full",1.5,"low_survival",1,21
2,"full",0.75,"low_survival",1,22
2,"robust",0.5,"low_survival",1,23
2,"full",1,"low_survival",1,24
2,"robust",1.5,"low_survival",1,25
2,"robust",1,"low_survival",1,26
3,"robust",0.75,"flatter_fecundity",1,27
3,"robust",0.5,"flatter_fecundity",1,28
3,"full",0.5,"flatter_fecundity",1,29
3,"robust",0.25,"flatter_fecundity",1,30
3,"full",0.75,"flatter_fecundity",1,31
3,"full",1.5,"flatter_fecundity",1,32
3,"full",0,"flatter_fecundity",1,33
3,"robust",1,"flatter_fecundity",1,34
3,"full",0.25,"flatter_fecundity",1,35
3,"robust",0,"flatter_fecundity",1,36
3,"robust",1.5,"flatter_fecundity",1,37
3,"none",NA,"flatter_fecundity",1,38
3,"full",1,"flatter_fecundity",1,39
4,"robust",0.25,"baseline",2,40
4,"robust",0,"baseline",2,41
4,"full",0,"baseline",2,42
4,"none",NA,"baseline",2,43
4,"full",0.25,"baseline",2,44
4,"full",0.75,"baseline",2,45
4,"robust",1.5,"baseline",2,46
4,"robust",0.5,"baseline",2,47
4,"robust",1,"baseline",2,48
4,"full",1,"baseline",2,49
4,"robust",0.75,"baseline",2,50
4,"full",1.5,"baseline",2,51
4,"full",0.5,"baseline",2,52
5,"none",NA,"low_survival",2,53
5,"full",1,"low_survival",2,54
5,"robust",1.5,"low_survival",2,55
5,"full",1.5,"low_survival",2,56
5,"robust",1,"low_survival",2,57
5,"full",0.25,"low_survival",2,58
5,"robust",0.75,"low_survival",2,59
5,"robust",0,"low_survival",2,60
5,"robust",0.5,"low_survival",2,61
5,"full",0.5,"low_survival",2,62
5,"robust",0.25,"low_survival",2,63
5,"full",0.75,"low_survival",2,64
5,"full",0,"low_survival",2,65
6,"full",1.5,"flatter_fecundity",2,66
6,"full",0.5,"flatter_fecundity",2,67
6,"robust",0.75,"flatter_fecundity",2,68
6,"full",0.75,"flatter_fecundity",2,69
6,"robust",0.5,"flatter_fecundity",2,70
6,"robust",1,"flatter_fecundity",2,71
6,"robust",0.25,"flatter_fecundity",2,72
6,"full",1,"flatter_fecundity",2,73
6,"robust",0,"flatter_fecundity",2,74
6,"full",0,"flatter_fecundity",2,75
6,"none",NA,"flatter_fecundity",2,76
6,"full",0.25,"flatter_fecundity",2,77
6,"robust",1.5,"flatter_fecundity",2,78
7,"full",0.75,"baseline",3,79
7,"full",0,"baseline",3,80
7,"robust",0.25,"baseline",3,81
7,"full",0.25,"baseline",3,82
7,"robust",0,"baseline",3,83
7,"robust",0.5,"baseline",3,84
7,"none",NA,"baseline",3,85
7,"full",0.5,"baseline",3,86
7,"full",1,"baseline",3,87
7,"robust",1.5,"baseline",3,88
7,"full",1.5,"baseline",3,89
7,"robust",1,"baseline",3,90
7,"robust",0.75,"baseline",3,91
8,"full",0.25,"low_survival",3,92
8,"robust",1.5,"low_survival",3,93
8,"none",NA,"low_survival",3,94
8,"robust",1,"low_survival",3,95
8,"full",1,"low_survival",3,96
8,"robust",0,"low_survival",3,97
8,"full",1.5,"low_survival",3,98
8,"full",0,"low_survival",3,99
8,"full",0.5,"low_survival",3,100
8,"robust",0.75,"low_survival",3,101
8,"full",0.75,"low_survival",3,102
8,"robust",0.5,"low_survival",3,103
8,"robust",0.25,"low_survival",3,104
9,"robust",0.5,"flatter_fecundity",3,105
9,"robust",0.25,"flatter_fecundity",3,106
9,"full",0.75,"flatter_fecundity",3,107
9,"robust",0,"flatter_fecundity",3,108
9,"full",0,"flatter_fecundity",3,109
9,"full",0.5,"flatter_fecundity",3,110
9,"full",0.25,"flatter_fecundity",3,111
9,"robust",0.75,"flatter_fecundity",3,112
9,"robust",1.5,"flatter_fecundity",3,113
9,"none",NA,"flatter_fecundity",3,114
9,"robust",1,"flatter_fecundity",3,115
9,"full",1,"flatter_fecundity",3,116
9,"full",1.5,"flatter_fecundity",3,117
10,"robust",0,"baseline",4,118
10,"none",NA,"baseline",4,119
